offset_x,offset_y,1996-09-01 00:00:00,1997-09-17 00:00:00,1998-09-14 00:00:00,1999-08-31 00:00:00,2000-08-17 00:00:00,2001-08-26 00:00:00,2002-08-18 00:00:00,2003-08-21 00:00:00,2004-09-02 00:00:00,2005-08-21 00:00:00,2006-08-23 00:00:00,2007-08-27 00:00:00,2008-08-27 00:00:00,2009-08-19 00:00:00,2010-08-25 00:00:00,2011-08-16 00:00:00,2012-08-23 00:00:00,2013-08-28 00:00:00,2014-08-25 00:00:00,2015-08-25 00:00:00,2016-08-25 00:00:00,2017-08-24 00:00:00,2018-08-23 00:00:00,2019-08-22 00:00:00
70,50,35,34,22,23,20,21,24,27,30,30,27,24,26,26,32,32,39,33,36,-999,39,39,39,47
70,60,25,23,33,29,24,24,29,28,31,24,33,21,26,24,32,29,37,29,32,-999,32,32,32,36
70,70,33,32,34,31,24,27,34,30,36,21,38,25,30,28,29,31,35,25,33,-999,39,38,34,36
70,80,28,29,34,31,26,26,31,25,34,29,39,28,32,25,26,26,39,30,28,-999,31,34,31,35
70,90,25,26,35,29,24,30,30,24,35,32,32,22,33,24,18,26,42,24,28,-999,32,32,31,31
70,100,32,27,20,34,30,21,29,26,34,26,35,24,28,21,24,25,34,30,29,-999,32,32,29,30
80,0,25,27,30,31,28,28,29,27,36,15,35,29,26,20,25,22,30,52,34,-999,34,33,30,29
80,10,34,30,38,43,30,34,37,35,44,32,37,26,34,21,27,24,28,42,32,-999,28,32,33,31
80,20,22,26,31,28,27,29,29,31,31,24,27,25,25,22,26,18,32,42,29,-999,36,29,28,35
80,30,44,41,30,20,27,26,32,26,35,28,34,17,25,19,23,31,41,34,28,-999,31,36,39,35
80,40,22,30,34,25,20,28,24,19,22,16,28,24,18,17,32,32,40,33,33,-999,37,35,37,39
80,50,27,26,26,25,21,21,20,23,27,22,28,23,21,20,32,26,37,30,35,-999,43,40,40,43
80,60,20,21,24,27,23,24,22,23,30,21,27,14,21,20,29,34,34,27,33,-999,51,42,42,42
80,70,38,32,31,25,21,20,25,23,31,24,27,25,25,23,32,30,36,37,33,-999,39,38,37,38
80,80,26,28,33,30,24,28,25,29,34,27,34,30,35,24,28,30,28,37,31,-999,35,34,29,36
80,90,40,35,32,30,26,28,30,28,29,28,33,25,22,24,22,25,31,37,27,-999,33,32,28,30
80,100,32,28,35,35,29,29,31,29,36,30,29,28,26,28,24,23,46,31,29,-999,28,30,24,28
90,0,32,46,40,30,37,39,41,34,36,29,38,28,29,25,27,27,32,50,24,-999,28,39,28,42
90,10,36,37,43,39,40,38,32,40,47,43,35,27,51,38,15,16,29,35,21,-999,23,38,37,38
90,20,35,36,41,42,32,37,35,33,42,28,34,21,32,20,28,32,34,38,24,-999,49,45,41,45
90,30,53,51,39,34,28,30,30,26,28,28,31,21,24,17,21,32,37,42,26,-999,27,34,31,31
90,40,22,24,26,26,20,20,37,21,26,22,25,19,20,15,32,27,32,35,30,-999,41,30,36,33
90,50,32,31,26,25,20,22,22,18,25,21,22,21,23,19,32,35,36,31,37,-999,40,37,43,40
90,60,19,15,22,23,20,19,23,20,25,22,25,20,23,19,25,29,33,30,29,-999,32,33,46,39
90,70,45,40,23,19,17,17,21,21,25,22,27,22,23,20,30,21,27,29,32,-999,38,34,31,32
90,80,23,26,29,26,21,23,21,22,30,24,30,29,24,20,26,32,44,48,32,-999,31,32,28,32
90,90,26,28,27,27,24,22,24,25,33,23,29,33,27,25,25,26,18,47,31,-999,30,30,28,33
90,100,28,27,30,28,27,25,22,34,33,25,36,30,30,23,25,24,31,54,29,-999,36,32,30,33
100,0,50,46,53,53,40,45,43,42,54,34,36,30,42,41,22,27,34,49,32,-999,37,38,34,40
100,10,40,40,53,52,40,44,44,45,54,39,45,23,48,26,32,28,37,36,45,-999,34,34,33,44
100,20,29,30,37,35,29,30,28,29,34,27,32,20,29,22,23,18,34,37,21,-999,28,38,35,33
100,30,40,42,34,29,25,25,25,24,29,23,27,22,26,21,27,22,47,31,26,-999,31,35,26,24
100,40,28,31,37,35,30,30,30,29,34,26,33,23,25,20,24,24,41,32,31,-999,31,32,34,31
100,50,30,32,26,24,20,21,20,21,25,20,25,20,20,18,28,28,33,30,33,-999,38,39,38,42
100,60,19,20,26,23,20,20,22,21,29,23,28,23,23,21,28,24,27,42,30,-999,35,32,28,36
100,70,26,28,28,25,20,21,22,20,27,21,26,24,23,21,22,37,28,36,30,-999,34,34,35,39
100,80,22,22,26,23,20,21,20,21,26,23,26,27,23,21,26,29,28,37,34,-999,36,36,34,39
100,90,22,26,30,30,24,22,21,23,28,24,29,44,28,27,33,31,28,39,29,-999,30,44,37,38
100,100,30,32,37,35,31,30,32,29,35,30,37,40,35,25,31,31,33,34,34,-999,39,39,35,37
