offset_x,offset_y,1995-07-06 00:00:00,1995-07-24 00:00:00,1995-08-20 00:00:00,1996-06-14 00:00:00,1996-07-03 00:00:00,1996-07-30 00:00:00,1996-08-20 00:00:00,1997-06-11 00:00:00,1997-07-17 00:00:00,1997-08-09 00:00:00,1998-08-13 00:00:00,1999-08-10 00:00:00,2000-08-08 00:00:00,2001-06-19 00:00:00,2001-07-25 00:00:00,2001-08-16 00:00:00,2002-08-20 00:00:00,2003-08-19 00:00:00,2004-08-17 00:00:00,2005-08-14 00:00:00,2006-06-17 00:00:00,2006-07-20 00:00:00,2006-08-13 00:00:00,2007-08-10 00:00:00,2008-08-15 00:00:00,2009-08-13 00:00:00,2010-08-15 00:00:00,2011-08-16 00:00:00,2012-08-15 00:00:00,2013-08-14 00:00:00,2014-08-15 00:00:00,2015-08-18 00:00:00,2016-07-12 00:00:00,2016-07-30 00:00:00,2016-08-17 00:00:00,2017-08-18 00:00:00,2018-08-14 00:00:00,2019-08-15 00:00:00
5940029632,76125512910,15,42,30,10,26,29,53,12,35,48,41,45,43,2,35,53,37,30,36,41,-999,23,43,37,50,60,57,52,48,64,37,59,36,60,53,52,52,38
5940031932,76125559860,23,43,41,10,24,44,40,13,35,48,62,56,40,3,36,40,24,38,45,40,-999,19,39,42,45,47,55,51,50,-999,36,57,41,31,60,57,39,61
5940038471,76125938460,21,31,50,13,25,28,39,14,38,48,45,50,46,5,35,39,30,43,52,41,-999,12,43,-999,50,45,41,47,47,51,58,49,43,60,-999,58,60,62
5940039363,76125535630,25,35,35,11,30,54,55,10,40,48,46,43,52,8,35,47,36,41,44,34,-999,21,42,48,52,38,60,50,58,64,50,-999,39,62,46,46,48,38
5940039893,76125998750,19,40,53,16,25,32,58,11,-999,37,45,36,34,9,29,38,33,38,44,41,-999,-999,29,-999,53,34,-999,58,50,48,44,47,27,45,34,47,41,40
5940040535,76125352630,24,24,43,18,35,36,48,11,27,55,41,50,30,2,27,36,28,31,27,40,-999,17,41,38,54,44,55,51,48,52,49,48,38,51,48,50,33,51
5940042179,76125449780,19,42,55,10,17,31,44,12,49,34,58,40,29,-999,30,60,25,35,29,41,-999,22,36,46,48,42,48,37,54,53,36,44,29,44,39,46,44,51
5940044020,76125400740,17,26,48,10,30,25,38,9,54,61,53,40,44,3,40,45,32,27,37,35,-999,31,47,34,67,51,58,42,42,-999,51,62,40,52,50,57,35,67
5940049470,76125244740,22,31,39,10,20,27,44,10,44,34,41,39,29,12,32,39,27,38,61,35,-999,19,33,32,47,34,46,44,36,48,41,43,31,44,40,46,57,41
5940049556,76125296100,24,40,36,25,29,26,44,9,49,44,50,46,40,4,27,42,27,32,52,34,-999,22,39,27,51,48,48,48,50,47,49,54,51,51,47,55,47,55
5940052901,76125153390,43,49,35,9,14,38,37,16,28,40,39,39,33,6,32,38,36,32,35,31,-999,15,37,34,50,35,47,45,45,49,37,62,35,53,44,51,45,39
5940054011,76125513830,16,45,43,14,20,51,43,20,38,58,46,56,46,1,35,44,36,44,41,34,-999,24,40,41,47,50,59,48,56,63,34,-999,34,61,51,48,40,38
5940055695,76125198110,15,34,37,15,18,42,66,16,39,40,42,44,34,8,26,38,25,31,49,41,-999,23,39,35,48,44,51,54,32,59,45,45,33,52,57,60,41,59
5940058341,76125116740,29,50,45,17,24,30,40,14,34,46,40,37,34,6,24,44,25,28,52,41,-999,20,32,37,50,35,45,38,53,43,36,51,28,37,41,42,48,37
5940059448,76125011830,16,32,41,10,20,41,43,12,39,42,31,40,34,9,31,57,41,57,34,53,-999,15,38,31,52,41,48,37,38,42,43,58,38,46,40,51,53,65
5940062313,76125065540,20,27,40,8,20,36,64,13,31,49,40,49,28,12,28,60,29,40,38,30,-999,20,40,30,50,39,50,45,52,43,44,44,28,37,40,40,51,42
5940084543,76125492710,17,30,38,12,29,40,27,11,45,53,44,45,42,3,40,37,26,46,38,32,-999,24,35,41,53,44,55,41,34,51,41,45,34,43,47,48,42,49
5940103536,76125507930,23,37,31,12,19,38,31,15,38,45,57,53,31,6,26,47,33,34,48,37,-999,24,31,48,51,53,60,49,53,54,47,53,30,43,48,52,32,52
5940118361,76125460500,23,25,28,11,18,21,25,7,26,28,37,40,32,6,25,31,20,32,33,32,-999,21,32,38,43,39,53,41,43,48,37,-999,30,42,43,42,40,43
5940151862,76125424900,34,41,30,12,14,26,30,11,29,34,33,40,38,2,26,37,28,48,40,34,-999,17,24,32,68,44,47,37,40,39,39,-999,31,43,39,47,38,45
5940152656,76125501910,21,50,41,18,24,40,56,5,35,33,46,54,40,6,28,42,30,35,29,40,-999,17,30,47,49,49,48,42,50,50,47,54,44,51,39,53,44,50
5940178749,76125403560,29,38,41,9,28,34,40,12,38,45,48,48,35,8,34,36,28,44,39,48,-999,15,20,31,57,33,41,33,36,43,30,35,34,40,40,47,37,41
5940204353,76125502730,22,40,50,16,24,38,54,15,30,47,36,52,37,16,36,47,39,58,37,43,-999,15,35,40,50,48,56,54,44,54,48,50,31,51,49,55,56,51
5940224170,76125365140,28,50,51,10,20,49,55,9,30,59,54,59,54,5,45,48,40,42,52,42,-999,32,48,33,54,63,60,52,53,70,52,65,51,58,64,41,60,62
5940253782,76125324910,29,36,62,12,27,54,57,9,25,65,48,57,47,7,45,49,37,57,60,54,5,35,52,50,41,57,71,57,60,74,64,71,47,63,53,65,58,77
5940254288,76125506850,13,33,48,14,28,41,47,9,38,54,45,45,26,10,39,45,32,50,36,54,-999,25,34,32,40,51,55,48,53,55,53,59,39,53,48,52,52,53
5940299490,76125279760,21,36,41,17,19,35,46,10,39,44,50,43,43,13,40,44,32,55,38,46,-999,26,40,55,61,43,50,53,52,53,49,52,47,61,55,59,54,63
5940303029,76125510930,22,36,70,15,24,23,30,8,48,58,50,38,40,14,35,40,26,39,36,60,13,37,50,42,47,64,68,58,47,65,56,64,42,58,63,68,40,61
5940330276,76125251920,44,44,33,9,21,23,33,7,30,37,42,34,28,-999,24,33,26,38,37,30,1,21,29,42,65,41,45,28,42,37,42,44,32,45,40,54,35,39
5940360454,76125218450,19,35,40,14,28,49,49,10,43,51,38,47,42,5,33,48,45,41,46,39,-999,21,40,32,47,40,60,43,45,39,49,53,29,45,62,35,48,42
5940370914,76125503470,21,36,46,8,25,40,40,8,49,74,50,47,42,10,57,41,24,42,38,40,-999,40,56,39,48,73,74,70,35,80,75,74,51,66,70,75,45,71
5940408490,76125186770,26,40,49,14,33,51,60,9,61,51,44,59,48,22,41,58,50,33,52,48,-999,38,48,41,51,58,71,53,53,56,51,71,50,52,64,52,57,66
5940412653,76125509440,23,45,35,12,17,40,34,12,68,47,72,47,37,18,37,38,23,38,32,40,-999,20,36,55,59,54,57,58,47,64,47,58,40,53,55,63,38,60
