offset_x,offset_y,1996-08-31 00:00:00,1997-09-15 00:00:00,1998-09-14 00:00:00,1999-09-01 00:00:00,2000-08-17 00:00:00,2001-08-23 00:00:00,2002-08-18 00:00:00,2003-08-20 00:00:00,2004-09-01 00:00:00,2005-08-20 00:00:00,2006-08-23 00:00:00,2007-08-29 00:00:00,2008-08-26 00:00:00,2009-08-18 00:00:00,2010-08-25 00:00:00,2011-08-15 00:00:00,2012-08-23 00:00:00,2013-08-28 00:00:00,2014-08-26 00:00:00,2015-08-27 00:00:00,2016-08-24 00:00:00,2017-08-23 00:00:00,2018-08-22 00:00:00,2019-08-21 00:00:00
60,100,70,61,78,74,61,63,72,87,74,40,83,66,64,77,78,81,57,70,85,85,80,80,75,88
70,0,63,66,72,69,49,62,61,62,63,56,75,63,59,33,60,59,100,65,62,66,56,57,54,63
70,10,55,60,76,66,61,54,54,39,80,52,63,63,49,36,68,55,90,65,60,68,70,65,62,66
70,20,50,50,55,49,44,64,59,49,59,61,63,54,51,54,63,65,94,70,82,59,69,62,58,72
70,30,55,52,84,65,46,57,43,53,76,50,65,51,59,62,58,61,59,60,65,67,62,59,54,62
70,40,55,60,62,61,53,50,57,53,57,50,50,56,48,49,65,55,60.5,61,72,57,67,71,67,62
70,50,63,78,63,63,57,53,58,54,61,52,59,57,59,50,61,62,93,54,89,69,58,61,52,69
70,60,58,68,68,58,46,48,46,49,56,48,61,49,65,49,70,75,68.5,60,71,75,83,95,81,80
70,70,61,56,61,65,56,61,52,53,54,55,58,54,58,59,54,59,64,55,70,64,67,67,53,70
70,80,70,53,103,80,61,60,53,69,68,57,69,66,67,64,62,69,59,76,58,56,71,60,62,77
70,90,72,64,76,60,65,67,52,47,67,53,74,74,62,55,89,78,70.5,70,100,100,63,100,91,92
70,100,72,60,83,71,56,42,72,57,74,63,75,65,66,60,87,88,55.5,67,100,77,71,90,100,101
80,0,60,69,76,64,53,73,59,50,78,39,40,64,45,67,56,58,100,75,63,56,60,105,56,66
80,10,53,56,63,67,53,60,51,64,69,49,61,64,60,48,52,54,78,68,57,65,65,82,51,75
80,20,56,53,57,66,51,50,56,51,65,50,70,60,64,47,65,57,70.5,54,58,66,66,69,70,68
80,30,59,60,70,73,56,59,62,57,77,58,73,54,56,65,53,69,90,56,72,60,60,65,44,54
80,40,58,61,67,68,46,60,51,54,55,51,75,55,50,46,57,59,70.5,70,61,67,68,66,80,84
80,50,53,53,57,49,48,43,57,49,67,47,70,52,47,54,63,53,80,79,53,62,60,73,89,78
80,60,58,61,58,56,41,57,40,50,50,38,56,45,42,56,89,66,50,74,88,68,77,65,62,92
80,70,77,57,59,56,46,48,45,43,57,54,48,51,45,65,93,109,55,63,100,81,68,62,63,77
80,80,90,65,96,92,49,80,44,61,58,69,51,88,59,67,90,81,66.5,67,68,82,64,59,60,83
80,90,62,69,79,74,67,74,61,58,75,78,76,92,72,49,86,77,52,69,73,78,75,65,83,90
80,100,75,74,86,98,78,73,68,76,88,66,78,70,77,52,97,89,66,58,100,104,105,60,100,100
90,0,59,60,65,70,53,53,62,41,55,54,44,56,59,59,54,56,90,78,52,52,59,99,45,53
90,10,55,60,76,71,65,65,56,58,63,55,61,50,53,61,74,69,86,61,63,71,72,91,61,67
90,20,55,54,57,55,55,55,51,49,59,34,67,38,50,42,55,53,91,73,72,49,66,80,60,58
90,30,50,51,61,48,46,46,53,40,58,44,73,70,58,72,72,74,84,46,74,57,63,70,55,75
90,40,73,73,74,51,55,67,55,55,68,52,58,55,48,56,68,70,93,59,77,75,89,83,81,59
90,50,60,62,66,64,57,62,53,53,54,60,67,56,51,55,80,65,100,78,70,55,66,102,72,90
90,60,61,61,69,65,55,59,57,61,62,42,65,64,59,55,84,72,93,72,92,75,69,81,62,91
90,70,63,88,89,85,75,83,76,72,67,62,66,88,92,65,79,80,69,97,84,78,91,85,83,81
90,80,80,58,85,89,81,56,70,76,85,75,82,78,75,65,75,71,58.5,61,87,84,92,67,73,91
90,90,73,67,78,77,67,65,57,65,78,73,75,88,76,59,71,85,80.5,60,87,93,100,82,89,82
90,100,75,62,95,99,65,73,59,74,92,64,-888,54,71,57,86,96,53,71,91,93,91,51,85,94
100,0,69,72,69,67,60,60,60,56,72,57,57,62,61,58,61,65,79,73,50,53,63,78,42,63
100,10,58,64,74,71,64,61,63,57,70,57,70,61,62,63,56,67,100,64,53,66,65,92,45,62
100,20,51,55,58,60,45,48,45,45,53,42,71,51,54,54,68,76,90,75,78,77,75,94,83,67
100,30,44,51,71,67,56,54,52,53,63,54,61,58,61,61,59,85,70.5,61,60,77,72,79,75,64
100,40,64,69,69,71,61,65,64,61,74,54,70,67,69,59,64,62,75,62,66,69,62,83,47,70
100,50,58,60,75,76,62,63,62,64,74,67,71,67,72,64,82,73,72,65,97,88,76,92,55,75
100,60,71,55,81,80,68,69,72,71,83,67,74,66,76,52,96,92,69,62,74,78,73,68,63,82
100,70,58,86,89,88,79,72,79,80,90,72,82,59,66,58,70,78,76,72,74,71,75,77,74,74
100,80,88,58,105,106,89,89,84,81,108,84,93,67,7,56,91,83,80,82,90,78,91,76,85,100
100,90,59,84,102,93,79,77,72,72,82,78,98,82,54,92,83,81,68,70,92,99,87,53,75,94
100,100,98,63,102,78,88,74,89,89,86,61,81,66,61,60,90,79,62.5,65,75,82,75,68,76,77
