offset_x,offset_y,1996-08-31 00:00:00,1997-09-16 00:00:00,1998-09-14 00:00:00,1999-08-30 00:00:00,2003-08-19 00:00:00,2005-08-20 00:00:00,2006-08-24 00:00:00,2007-08-29 00:00:00,2008-08-27 00:00:00,2009-08-18 00:00:00,2010-08-24 00:00:00,2011-08-16 00:00:00,2012-08-23 00:00:00,2013-08-28 00:00:00,2014-08-26 00:00:00,2015-08-25 00:00:00,2016-08-23 00:00:00,2017-08-22 00:00:00,2018-08-21 00:00:00,2019-08-21 00:00:00
30,30,32,36,44,42,34,33,36,27,48,46,45,66,39,44,42,51,39,41,42,42
30,40,39,31,39,43,41,27,37,34,55,40,40,46,49,56,43,44,46,38,54,39
30,50,33,37,47,46,40,35,46,38,36,47,35,36,35.5,42,46,47,62,33,51,49
30,60,43,49,55,42,45,36,45,47,55,38,45,30,37,47,38,46,38,55,52,39
30,70,34,35,39,46,40,26,35,30,39,38,55,46,35.5,34,46,54,55,58,50,44
30,80,33,42,51,49,37,35,32,44,58,28,53,38,32,46,42,40,39,64,55,42
30,90,30,40,53,50,30,32,40,35,42,40,32,41,48,46,45,40,38,43,36,39
30,100,29,36,4,35,29,24,38,29,40,37,39,37,18,46,48,43,37,29,43,46
40,0,37,38,43,44,30,36,52,42,58,47,37,30,31,56,51,31,35,31,26,36
40,10,30,45,48,46,38,33,40,37,44,47,28,34,62,36,37,32,40,39,33,40
40,20,38,44,51,43,41,23,40,23,56,26,33,49,25.5,39,45,40,54,28,46,58
40,30,38,37,41,52,24,39,33,46,27,34,49,35,56,46,31,49,39,69,50,40
40,40,35,44,49,35,43,29,35,29,45,38,54,50,38,38,43,41,36,66,55,37
40,50,37,47,43,35,32,38,32,25,61,34,55,52,32,68,46,42,34,54,66,56
40,60,41,49,56,46,33,48,34,36,46,25,38,40,48,46,33,31,53,46,39,43
40,70,39,31,56,49,38,49,36,46,43,41,38,45,40,37,36,36,36,46,46,41
40,80,41,41,50,55,26,37,35,25,56,35,48,39,51,67,42,38,56,47,40,57
40,90,35,39,51,50,26,39,43,26,42,46,35,39,28,42,37,57,58,40,41,50
40,100,35,46,60,46,46,19,45,29,35,43,48,56,57,46,31,57,57,64,52,44
50,0,37,44,47,51,40,31,43,32,46,46,53,48,48,59,56,44,46,54,54,61
50,10,40,45,50,41,34,17,42,22,48,45,44,35,40,43,37,39,33,42,40,44
50,20,37,39,45,36,33,40,32,42,57,44,44,37,42,37,40,35,35,37,34,39
50,30,32,40,48,42,32,16,29,47,42,35,47,27,41,55,37,45,52,44,43,46
50,40,45,49,56,42,36,21,39,24,46,29,54,56,33,50,45,57,50,50,44,44
50,50,45,54,69,70,37,45,65,40,43,51,43,49,60,61,56,50,72,67,56,56
50,60,38,34,47,46,32,37,30,34,53,64,40,36,62.5,43,43,39,46,42,40,51
50,70,29,51,58,60,27,46,54,28,40,44,38,45,34,57,41,37,39,35,53,45
50,80,50,40,48,38,38,26,30,42,38,55,40,37,43,43,29,45,50,50,52,40
50,90,32,42,49,34,31,26,29,30,21,44,32,56,45,53,34,42,42,35,33,48
50,100,44,54,64,45,36,25,62,27,59,46,53,46,55,55,57,52,62,55,54,60
