offset_x,offset_y,1996-08-30 00:00:00,1998-09-18 00:00:00,1999-09-02 00:00:00,2000-08-14 00:00:00,2003-08-18 00:00:00,2004-09-03 00:00:00,2005-08-19 00:00:00,2006-08-22 00:00:00,2007-08-17 00:00:00,2008-08-25 00:00:00,2009-08-17 00:00:00,2010-08-23 00:00:00,2011-08-14 00:00:00,2012-08-24 00:00:00,2013-08-26 00:00:00,2014-08-24 00:00:00,2015-08-23 00:00:00,2016-08-22 00:00:00,2017-08-21 00:00:00,2018-08-20 00:00:00,2019-08-19 00:00:00
40,90,33,50,36,30,40,44,43,40,44,38,41,36,36,34,46,35,30,37,41,34,53
40,100,32,45,41,33,40,41,39,40,43,41,47,45,28,39,31,37,34,40,35,37,43
50,0,34,40,34,28,40,41,42,-999,42,39,43,46,39,45,37,47,38,38,38,43,40
50,10,33,45,46,36,37,44,32,49,44,32,45,47,51,38,32,42,39,40,37,43,47
50,20,35,40,33,31,40,43,40,51,44,40,34,43,41,36,37,44,40,44,47,46,41
50,30,38,44,38,34,38,45,39,38,47,41,30,40,46,40,41,43,37,44,47,39,43
50,40,35,45,40,31,40,44,39,39,48,35,40,43,46,45,43,51,41,43,48,43,50
50,50,41,55,56,45,55,57,53,40,47,50,50,52,49,53,45,47,45,46,62,48,60
50,60,33,51,42,32,41,41,43,37,41,42,37,48,43,43,34,52,39,39,43,45,46
50,70,29,37,35,30,41,46,36,37,43,37,41,44,48,32,28,48,35,39,45,44,33
50,80,33,41,40,29,38,42,38,39,43,41,41,41,45,40,33,45,33,40,44,46,37
50,90,35,45,43,35,41,46,44,35,43,39,41,42,41,45,27,58,35,46,42,50,51
50,100,35,49,39,36,39,45,34,40,49,43,33,47,48,40,37,53,41,39,42,48,52
60,0,36,41,36,36,41,44,48,-999,41,36,40,44,36,40,42,43,36,41,34,45,45
60,10,36,42,43,36,36,43,37,42,42,37,40,46,56,44,40,46,39,39,36,44,49
60,20,34,50,39,36,37,49,39,44,46,40,43,42,48,40.5,36,42,40,42,43,40,37
60,30,35,46,32,32,34,40,40,43,41,36,34,58,38,45,41,39,44,42,36,44,41
60,40,34,45,46,40,45,47,42,42,40,39,39,44,46,44,38,44,34,48,44,49,52
60,50,26,39,36,31,33,43,42,55,42,35,29,46,49,45,37,49,39,50,45,48,49
60,60,35,43,34,37,46,45,39,43,45,38,42,49,45,46,37,46,40,39,33,46,47
60,70,32,46,38,35,43,41,35,47,45,37,30,47,56,47,36,46,42,42,33,43,39
60,80,31,45,41,40,40,45,52,40,51,38,35,42,48,43,34,45,36,44,45,47,41
60,90,30,45,48,44,40,42,40,37,43,35,49,47,49,39,24,47,34,45,44,43,53
60,100,36,45,36,34,43,40,37,33,44,41,31,44,45,35,30,46,55,38,44,50,45
70,0,34,50,38,36,41,42,44,-999,42,43,41,38,40,44,33,39,41,43,42,44,50
70,10,33,48,40,31,39,42,38,42,40,39,41,41,43,37,34,46,41,39,40,43,52
70,20,26,42,36,34,41,40,39,42,42,41,41,42,42,43,37,49,46,44,43,48,60
70,30,32,42,35,35,37,46,42,40,39,34,43,54,48,40,43,54,43,45,44,43,45
70,40,29,43,36,32,40,46,42,39,40,33,37,41,46,37.5,35,45,41,51,45,51,49
70,50,28,37,32,34,28,41,42,43,39,38,37,44,51,39.5,41,44,35,45,39,43,47
70,60,34,41,43,30,36,42,40,41,47,46,32,41,48,43,33,46,38,37,54,39,41
70,70,32,42,39,37,36,40,40,52,39,41,30,46,45,45,33,37,42,40,47,46,52
70,80,27,45,43,33,38,45,37,50,44,45,41,51,46,34.5,38,42,42,45,44,43,48
70,90,30,45,41,31,37,42,42,42,42,32,38,46,45,44,33,46,47,41,41,37,41
70,100,40,46,44,37,36,45,42,35,49,39,40,48,58,35,42,46,39,40,42,43,37
80,0,46,48,41,39,36,44,42,-999,44,22,36,49,44,42,37,49,43,44,47,42,52
80,10,38,43,46,33,32,40,43,47,38,40,32,47,41,35,42,41,37,37,33,42,57
80,20,37,46,40,38,42,43,46,44,48,39,35,45,51,36.5,28,44,43,45,40,43,64
80,30,33,49,41,31,42,49,45,46,40,42,40,46,46,48,42,37,36,43,37,48,55
80,40,30,43,37,36,50,46,46,45,40,41,38,48,41,42,39,44,36,42,42,45,48
80,50,33,42,38,34,33,39,39,44,42,33,36,49,44,40.5,35,41,38,40,42,43,51
80,60,36,46,43,40,37,47,41,46,43,35,36,45,53,45,41,46,42,39,48,44,48
