offset_x,offset_y,1999-10-03 00:00:00,2000-07-27 00:00:00,2001-10-07 00:00:00,2002-09-28 00:00:00,2008-08-29 00:00:00,2009-08-22 00:00:00,2010-08-23 00:00:00,2011-08-25 00:00:00,2012-08-23 00:00:00,2013-08-23 00:00:00,2014-08-26 00:00:00,2015-08-30 00:00:00,2016-08-26 00:00:00,2017-08-26 00:00:00,2018-08-27 00:00:00,2019-08-25 00:00:00
900,800,56.25,29,48,48.5,65,57.5,61,64.5,52.5,55.5,58.5,57,67.5,59.5,63.5,69
900,900,80,35,-888,55,80.5,48.5,55,59.5,50,47,51,102.5,103.5,67.5,130,120
900,1000,55,29,-999,48.25,65.5,45.5,51.5,54.5,42.5,42,37.5,51,59.5,48.5,54,75
1000,0,67.5,34.6,59,60.75,-999,-999,-999,-999,-999,-999,-999,62,56,60.5,58.25,102.5
1000,100,55,29,54,46,95,78.5,83,-999,-999,-999,-999,58,54,66.5,60.25,73.5
1000,200,52.5,31.3,77,46.5,88.5,48,57,101,62,53,78,51,66.5,76,71.25,78.5
1000,300,73.75,31,104,52.75,66,51.5,50.5,61,67,52.5,57.5,67.5,81.5,85,83.25,94.5
1000,400,55,33,55,52.5,54,53.5,59,54.5,42,44.5,46.5,58.5,72,53.5,62.75,87.5
1000,500,55,38.6,49,56.75,67,61.5,65,59,61,44.5,53.5,60,75.5,61.5,68.5,78.5
1000,600,58.75,35,47,49,68,-999,-999,80,65.5,65,64,68.5,80.5,51,65.75,96.5
1000,700,66.25,33.6,82,52,93.5,-999,-999,-999,-999,-999,-999,57,74.5,60.5,67.5,91
1000,800,60,31,65,47.5,68.5,49.5,62,67.5,53,54,59.5,51,62,63.5,62.75,85
1000,900,52.5,30,66,46,82.5,69.5,74.5,71,68,59.5,73,56.5,65.5,50,57.75,73
1000,1000,52.5,27.3,60,45.75,82,50.5,59.5,61.5,48,55,58,46,61,51,56,71.5
