offset_x,offset_y,1995-07-12 00:00:00,1995-07-28 00:00:00,1995-08-24 00:00:00,1996-06-21 00:00:00,1996-07-26 00:00:00,1996-08-05 00:00:00,1996-08-23 00:00:00,1997-07-10 00:00:00,1997-07-31 00:00:00,1997-08-15 00:00:00,1998-08-18 00:00:00,1999-08-12 00:00:00,2000-08-10 00:00:00,2001-06-23 00:00:00,2001-07-16 00:00:00,2001-08-13 00:00:00,2002-08-25 00:00:00,2003-08-23 00:00:00,2004-08-20 00:00:00,2005-08-17 00:00:00,2006-07-28 00:00:00,2006-08-19 00:00:00,2007-08-14 00:00:00,2008-08-09 00:00:00,2009-08-16 00:00:00,2010-08-10 00:00:00,2011-08-13 00:00:00,2012-08-14 00:00:00,2013-08-09 00:00:00,2014-08-10 00:00:00,2014-08-12 00:00:00,2016-07-06 00:00:00,2016-07-24 00:00:00,2016-08-12 00:00:00,2017-08-11 00:00:00,2018-08-07 00:00:00,2019-08-08 00:00:00
5712726149,77983734060,26,36,42,28,37,37,44,23,33,39,39,41,40,10,22,36,49,40,42,38,38,45,36,44,29,36,39,38,38,43,45,29,42,54,45,43,43
5712727793,77984068950,26,31,35,23,35,36,33,22,28,32,36,29,28,6,20,29,30,33,34,30,28,36,28,32,28,26,31,31,39,33,37,20,29,34,37,29,48
5712735326,77984262230,24,30,34,24,30,33,36,25,33,41,36,27,33,8,18,27,38,38,40,52,27,37,30,33,26,28,28,46,52,35,30,24,33,36,40,31,43
5712756634,77983687030,30,43,48,24,46,44,52,34,32,51,37,48,43,14,27,45,48,46,53,40,38,46,38,40,35,40,44,35,38,52,49,32,45,43,55,51,57
5712778208,77984059290,27,34,38,23,40,42,40,19,32,35,42,37,33,8,23,34,34,37,41,33,32,43,34,34,32,35,31,36,38,40,43,19,34,40,42,33,43
5712779671,77984290360,26,32,38,21,38,36,40,21,34,38,43,40,35,10,25,37,35,50,50,37,29,43,34,35,30,34,48,40,43,35,39,23,37,42,40,33,45
5712823630,77984051820,30,45,42,24,39,42,44,28,37,38,42,36,36,11,22,35,37,39,46,39,36,42,35,35,33,36,39,40,44,37,42,25,38,41,43,34,44
5712844024,77984316860,34,41,46,23,45,46,49,26,32,40,49,47,40,13,25,38,39,48,56,43,45,48,40,42,32,45,42,49,40,45,46,29,45,50,46,42,51
5712869327,77984036500,35,46,49,26,44,47,53,28,35,46,51,43,44,9,17,39,40,38,46,40,35,44,35,40,37,42,39,43,44,41,50,23,42,47,47,40,56
5712886164,77984342770,39,45,45,22,44,51,52,30,39,50,43,52,31,18,24,30,42,40,44,42,45,45,35,39,41,36,35,54,41,47,45,33,43,54,49,48,50
5712915025,77984021180,36,55,61,24,52,56,70,36,49,55,76,55,63,8,18,56,60,57,64,55,48,53,64,49,60,57,56,59,42,53,74,40,48,66,59,43,62
5712927410,77984373050,37,46,53,18,49,54,59,38,41,52,59,53,48,14,24,45,49,33,41,46,32,56,44,49,36,48,33,54,42,50,55,34,52,59,57,48,60
5712955041,77984017940,55,64,74,19,47,57,50,44,58,65,72,72,68,20,40,65,65,64,71,68,65,72,63,53,64,68,53,63,37,52,54,43,57,55,65,51,62
5713018195,77983998760,27,36,43,23,40,42,46,20,32,41,52,49,36,9,24,40,43,40,47,38,34,42,35,38,30,32,34,42,42,37,41,41,36,47,45,34,51
5713068026,77983983570,35,43,47,27,40,42,48,24,37,42,50,42,41,13,23,40,39,41,43,42,39,45,37,37,37,40,42,43,52,46,49,34,45,51,50,41,54
5713109079,77983971380,34,43,48,25,43,45,49,23,36,45,46,46,43,9,22,40,41,40,48,42,41,49,38,39,37,42,44,48,49,50,50,33,47,53,53,44,56
5713158910,77983944790,26,50,55,25,52,60,64,24,43,65,78,71,68,18,19,57,64,56,72,50,38,57,38,47,54,58,59,61,60,58,68,26,49,71,74,54,72
