File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017322_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-18,4819.0,0.1838,1.0,"(0.1838,1.0)",0.6465,0.192,0.0368,0.8015,1.0,0.6391,0.1838,0.4956
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017322_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-18,4811.0,0.0002,0.4961,"(0.0002,0.4961)",0.202,0.1146,0.0131,0.2832,0.4961,0.1971,0.0002,0.1095
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017322_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-18,4766.0,0.0002,0.3186,"(0.0002,0.3186)",0.0761,0.064,0.0041,0.117,0.2598,0.06,0.0002,0.0217
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017323_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-19,4320.0,0.2043,1.0,"(0.2043,1.0)",0.6686,0.1905,0.0363,0.8253,1.0,0.6675,0.2043,0.5194
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017323_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-19,4318.0,0.0002,0.4961,"(0.0002,0.4961)",0.2029,0.1206,0.0145,0.2937,0.4961,0.1983,0.0002,0.1007
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017323_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-19,4276.0,0.0002,0.3186,"(0.0002,0.3186)",0.0707,0.0647,0.0042,0.1085,0.2435,0.0503,0.0002,0.0181
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017324_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-20,5170.0,0.1838,1.0,"(0.1838,1.0)",0.6485,0.1927,0.0371,0.8064,1.0,0.6423,0.1838,0.4963
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017324_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-20,5162.0,0.0002,0.4961,"(0.0002,0.4961)",0.2017,0.1152,0.0133,0.2847,0.4961,0.1971,0.0002,0.1084
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017324_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-20,5117.0,0.0002,0.3186,"(0.0002,0.3186)",0.0764,0.0644,0.0041,0.1178,0.2601,0.06,0.0002,0.0217
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017325_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-21,3840.0,0.1838,1.0,"(0.1838,1.0)",0.6632,0.1895,0.0359,0.8159,1.0,0.6573,0.1838,0.5163
